,TV,radio,newspaper,sales
70,175.7,15.4,2.4,14.1
71,97.2,1.5,30,9.6
72,125.7,36.9,79.2,15.9
73,27.5,1.6,20.7,6.9
74,0.7,39.6,8.7,1.6
75,19.6,20.1,17,7.6
76,139.3,14.5,10.2,13.4
77,93.9,43.5,50.5,15.3
78,7.8,38.9,50.6,6.6
79,250.9,36.5,72.3,22.2
80,36.9,38.6,65.6,10.8
81,74.7,49.4,45.7,14.7
82,210.8,49.6,37.7,23.8
83,73.4,17,12.9,10.9
84,273.7,28.9,59.7,20.8
85,210.7,29.5,9.3,18.4
86,18.7,12.1,23.4,6.7
87,43,25.9,20.5,9.6
88,166.8,42,3.6,19.6
89,62.3,12.6,18.3,9.7
90,239.3,15.5,27.3,15.7
91,227.2,15.8,49.9,14.8
92,187.9,17.2,17.9,14.7
93,234.5,3.4,84.8,11.9
94,214.7,24,4,17.4
95,287.6,43,71.8,26.2
96,139.5,2.1,26.6,10.3
97,248.4,30.2,20.3,20.2
98,85.7,35.8,49.3,13.3
99,187.8,21.1,9.5,15.6
100,44.5,39.3,45.1,10.4
101,110.7,40.6,63.2,16
102,248.8,27.1,22.9,18.9
103,218.4,27.7,53.4,18
104,17.2,45.9,69.3,9.3
105,104.6,5.7,34.4,10.4
106,182.6,46.2,58.7,21.2
107,149.8,1.3,24.3,10.1
108,120.2,19.6,11.6,13.2
109,94.2,4.9,8.1,9.7
110,136.2,19.2,16.6,13.2
111,193.7,35.4,75.6,19.2
112,191.1,28.7,18.2,17.3
113,23.8,35.1,65.9,9.2
114,16.9,43.7,89.4,8.7
115,163.3,31.6,52.9,16.9
116,69.2,20.5,18.3,11.3
117,216.8,43.9,27.2,22.3
118,293.6,27.7,1.8,20.7
119,292.9,28.3,43.2,21.4
120,102.7,29.6,8.4,14
121,25,11,29.7,7.2
122,296.4,36.3,100.9,23.8
123,134.3,4.9,9.3,11.2
124,195.4,47.7,52.9,22.4
125,222.4,4.3,49.8,11.7
126,116,7.7,23.1,11
127,97.5,7.6,7.2,9.7
128,43.1,26.7,35.1,10.1
129,31.5,24.6,2.2,9.5
130,163.5,36.8,7.4,18
131,218.5,5.4,27.4,12.2
132,149.7,35.6,6,17.3
133,129.4,5.7,31.3,11
134,168.4,7.1,12.8,11.7
135,165.6,10,17.6,12.6
136,213.5,43,33.8,21.7
137,109.8,14.3,31.7,12.4
138,199.1,30.6,38.7,18.3
139,215.4,23.6,57.6,17.1
140,255.4,26.9,5.5,19.8
141,262.9,3.5,19.5,12
142,4.1,11.6,5.7,3.2
143,70.6,16,40.8,10.5
144,199.8,3.1,34.6,11.4
145,219.8,33.5,45.1,19.6
146,75.3,20.3,32.5,11.3
147,25.6,39,9.3,9.5
148,171.3,39.7,37.7,19
149,89.7,9.9,35.7,10.6
150,177,33.4,38.7,17.1
151,78.2,46.8,34.5,14.6
152,38.2,3.7,13.8,7.6
153,123.1,34.6,12.4,15.2
154,175.1,22.5,31.5,14.9
155,18.8,21.7,50.4,7
156,276.7,2.3,23.7,11.8
157,131.7,18.4,34.6,12.9
158,76.4,26.7,22.3,11.8
159,26.8,33,19.3,8.8
160,240.1,7.3,8.7,13.2
161,17.9,37.6,21.6,8
162,96.2,14.8,38.9,11.4
163,217.7,33.5,59,19.4
164,198.9,49.4,60,23.7
165,56.2,5.7,29.7,8.7
166,25.1,25.7,43.3,8.5
167,107.4,14,10.9,11.5
168,280.7,13.9,37,16.1
169,199.8,2.6,21.2,10.6
170,216.4,41.7,39.6,22.6
171,204.1,32.9,46,19
172,39.5,41.1,5.8,10.8
173,225.8,8.2,56.5,13.4
174,172.5,18.1,30.7,14.4
175,265.2,2.9,43,12.7
176,8.7,48.9,75,7.2
177,90.4,0.3,23.2,8.7
178,80.2,0,9.2,8.8
179,177,9.3,6.4,12.8
180,240.1,16.7,22.9,15.9
