,TV,radio,newspaper,sales
112,43,25.9,20.5,9.6
113,213.4,24.6,13.1,17
114,296.4,36.3,100.9,23.8
115,253.8,21.3,30,17.6
116,76.4,26.7,22.3,11.8
117,222.4,4.3,49.8,11.7
118,139.2,14.3,25.6,12.2
119,142.9,29.3,12.6,15
120,175.1,22.5,31.5,14.9
121,171.3,39.7,37.7,19
122,214.7,24,4,17.4
123,75.3,20.3,32.5,11.3
124,283.6,42,66.2,25.5
125,66.1,5.8,24.2,8.6
126,239.3,15.5,27.3,15.7
127,147.3,23.9,19.1,14.6
128,25.6,39,9.3,9.5
129,164.5,20.9,47.4,14.5
130,17.2,4.1,31.6,5.9
131,13.2,15.9,49.6,5.6
132,141.3,26.8,46.2,15.5
133,76.3,27.5,16,12
134,31.5,24.6,2.2,9.5
135,177,9.3,6.4,12.8
136,262.9,3.5,19.5,12
137,38,40.3,11.9,10.9
138,265.2,2.9,43,12.7
139,238.2,34.3,5.3,20.7
140,265.6,20,0.3,17.4
141,241.7,38,23.2,21.8
142,216.4,41.7,39.6,22.6
143,227.2,15.8,49.9,14.8
144,177,33.4,38.7,17.1
145,215.4,23.6,57.6,17.1
146,74.7,49.4,45.7,14.7
147,220.3,49,3.2,24.7
148,140.3,1.9,9,10.3
149,286,13.9,3.7,15.9
150,26.8,33,19.3,8.8
151,70.6,16,40.8,10.5
152,193.7,35.4,75.6,19.2
153,120.5,28.5,14.2,14.2
154,187.8,21.1,9.5,15.6
155,216.8,43.9,27.2,22.3
156,36.9,38.6,65.6,10.8
157,240.1,7.3,8.7,13.2
158,121,8.4,48.7,11.6
159,88.3,25.5,73.4,12.9
160,273.7,28.9,59.7,20.8
161,188.4,18.1,25.6,14.9
162,7.3,28.1,41.4,5.5
163,187.9,17.2,17.9,14.7
164,110.7,40.6,63.2,16
165,44.5,39.3,45.1,10.4
166,205,45.1,19.6,22.6
167,27.5,1.6,20.7,6.9
168,198.9,49.4,60,23.7
169,39.5,41.1,5.8,10.8
170,168.4,7.1,12.8,11.7
171,59.6,12,43.1,9.7
172,243.2,49,44.3,25.4
173,250.9,36.5,72.3,22.2
174,100.4,9.6,3.6,10.7
175,248.4,30.2,20.3,20.2
176,206.9,8.4,26.4,12.9
177,53.5,2,21.4,8.1
178,25.1,25.7,43.3,8.5
179,19.6,20.1,17,7.6
180,219.8,33.5,45.1,19.6
