,TV,radio,newspaper,sales
67,120.2,19.6,11.6,13.2
68,261.3,42.7,54.7,24.2
69,75.3,20.3,32.5,11.3
70,7.3,28.1,41.4,5.5
71,217.7,33.5,59,19.4
72,13.1,0.4,25.6,5.3
73,0.7,39.6,8.7,1.6
74,191.1,28.7,18.2,17.3
75,78.2,46.8,34.5,14.6
76,227.2,15.8,49.9,14.8
77,131.1,42.8,28.9,18
78,125.7,36.9,79.2,15.9
79,168.4,7.1,12.8,11.7
80,44.5,39.3,45.1,10.4
81,16.9,43.7,89.4,8.7
82,88.3,25.5,73.4,12.9
83,216.4,41.7,39.6,22.6
84,292.9,28.3,43.2,21.4
85,50,11.6,18.4,8.4
86,19.6,20.1,17,7.6
87,180.8,10.8,58.4,12.9
88,184.9,43.9,1.7,20.7
89,123.1,34.6,12.4,15.2
90,197.6,23.3,14.2,16.6
91,262.7,28.8,15.9,20.2
92,38.2,3.7,13.8,7.6
93,76.4,0.8,14.8,9.4
94,187.9,17.2,17.9,14.7
95,97.5,7.6,7.2,9.7
96,96.2,14.8,38.9,11.4
97,163.5,36.8,7.4,18
98,219.8,33.5,45.1,19.6
99,184.9,21,22,15.5
100,296.4,36.3,100.9,23.8
101,232.1,8.6,8.7,13.4
102,25.1,25.7,43.3,8.5
103,76.4,26.7,22.3,11.8
104,237.4,5.1,23.5,12.5
105,193.2,18.4,65.7,15.2
106,228.3,16.9,26.2,15.5
107,204.1,32.9,46,19
108,116,7.7,23.1,11
109,109.8,14.3,31.7,12.4
110,202.5,22.3,31.6,16.6
111,120.5,28.5,14.2,14.2
112,129.4,5.7,31.3,11
113,248.8,27.1,22.9,18.9
114,31.5,24.6,2.2,9.5
115,163.3,31.6,52.9,16.9
116,27.5,1.6,20.7,6.9
117,199.1,30.6,38.7,18.3
118,164.5,20.9,47.4,14.5
119,239.3,15.5,27.3,15.7
120,205,45.1,19.6,22.6
121,102.7,29.6,8.4,14
122,166.8,42,3.6,19.6
123,28.6,1.5,33,7.3
124,218.4,27.7,53.4,18
125,214.7,24,4,17.4
126,25,11,29.7,7.2
127,253.8,21.3,30,17.6
128,237.4,27.5,11,18.9
129,39.5,41.1,5.8,10.8
130,187.8,21.1,9.5,15.6
131,239.8,4.1,36.9,12.3
132,289.7,42.3,51.2,25.4
133,220.3,49,3.2,24.7
134,75.1,35,52.7,12.6
135,250.9,36.5,72.3,22.2
136,213.4,24.6,13.1,17
137,222.4,3.4,13.1,11.5
138,273.7,28.9,59.7,20.8
139,165.6,10,17.6,12.6
140,93.9,43.5,50.5,15.3
141,100.4,9.6,3.6,10.7
142,135.2,41.7,45.9,17.2
143,75.5,10.8,6,9.9
144,104.6,5.7,34.4,10.4
145,85.7,35.8,49.3,13.3
146,69.2,20.5,18.3,11.3
147,182.6,46.2,58.7,21.2
148,199.8,3.1,34.6,11.4
149,147.3,23.9,19.1,14.6
150,139.5,2.1,26.6,10.3
151,141.3,26.8,46.2,15.5
152,199.8,2.6,21.2,10.6
153,239.9,41.5,18.5,23.2
154,43.1,26.7,35.1,10.1
155,229.5,32.3,74.2,19.7
156,280.2,10.1,21.4,14.8
157,110.7,40.6,63.2,16
158,193.7,35.4,75.6,19.2
159,177,33.4,38.7,17.1
160,139.2,14.3,25.6,12.2
161,117.2,14.7,5.4,11.9
162,112.9,17.4,38.6,11.9
163,13.2,15.9,49.6,5.6
164,228,37.7,32,21.5
165,8.7,48.9,75,7.2
166,287.6,43,71.8,26.2
167,17.9,37.6,21.6,8
168,70.6,16,40.8,10.5
169,80.2,0,9.2,8.8
170,43,25.9,20.5,9.6
171,213.5,43,33.8,21.7
172,8.6,2.1,1,4.8
173,209.6,20.6,10.7,15.9
174,149.8,1.3,24.3,10.1
175,238.2,34.3,5.3,20.7
176,241.7,38,23.2,21.8
177,66.1,5.8,24.2,8.6
178,276.7,2.3,23.7,11.8
179,210.7,29.5,9.3,18.4
180,74.7,49.4,45.7,14.7
