,TV,radio,newspaper,sales
142,76.4,0.8,14.8,9.4
143,73.4,17,12.9,10.9
144,142.9,29.3,12.6,15
145,7.8,38.9,50.6,6.6
146,95.7,1.4,7.4,9.5
147,290.7,4.1,8.5,12.8
148,66.9,11.7,36.8,9.7
149,215.4,23.6,57.6,17.1
150,182.6,46.2,58.7,21.2
151,156.6,2.6,8.3,10.5
152,243.2,49,44.3,25.4
153,184.9,43.9,1.7,20.7
154,210.7,29.5,9.3,18.4
155,238.2,34.3,5.3,20.7
156,202.5,22.3,31.6,16.6
157,220.3,49,3.2,24.7
158,240.1,7.3,8.7,13.2
159,27.5,1.6,20.7,6.9
160,175.7,15.4,2.4,14.1
161,296.4,36.3,100.9,23.8
162,13.1,0.4,25.6,5.3
163,38,40.3,11.9,10.9
164,17.9,37.6,21.6,8
165,180.8,10.8,58.4,12.9
166,25,11,29.7,7.2
167,262.9,3.5,19.5,12
168,232.1,8.6,8.7,13.4
169,135.2,41.7,45.9,17.2
170,139.2,14.3,25.6,12.2
171,43,25.9,20.5,9.6
172,70.6,16,40.8,10.5
173,222.4,3.4,13.1,11.5
174,69.2,20.5,18.3,11.3
175,149.7,35.6,6,17.3
176,11.7,36.9,45.2,7.3
177,140.3,1.9,9,10.3
178,8.7,48.9,75,7.2
179,116,7.7,23.1,11
180,56.2,5.7,29.7,8.7
