,TV,radio,newspaper,sales
89,234.5,3.4,84.8,11.9
90,216.4,41.7,39.6,22.6
91,187.9,17.2,17.9,14.7
92,215.4,23.6,57.6,17.1
93,75.1,35,52.7,12.6
94,75.5,10.8,6,9.9
95,117.2,14.7,5.4,11.9
96,141.3,26.8,46.2,15.5
97,107.4,14,10.9,11.5
98,75.3,20.3,32.5,11.3
99,281.4,39.6,55.8,24.4
100,139.5,2.1,26.6,10.3
101,38,40.3,11.9,10.9
102,180.8,10.8,58.4,12.9
103,7.3,28.1,41.4,5.5
104,140.3,1.9,9,10.3
105,76.4,26.7,22.3,11.8
106,56.2,5.7,29.7,8.7
107,293.6,27.7,1.8,20.7
108,149.8,1.3,24.3,10.1
109,25.1,25.7,43.3,8.5
110,164.5,20.9,47.4,14.5
111,187.8,21.1,9.5,15.6
112,151.5,41.3,58.5,18.5
113,237.4,5.1,23.5,12.5
114,62.3,12.6,18.3,9.7
115,210.8,49.6,37.7,23.8
116,121,8.4,48.7,11.6
117,230.1,37.8,69.2,22.1
118,229.5,32.3,74.2,19.7
119,17.2,4.1,31.6,5.9
120,69,9.3,0.9,9.3
121,80.2,0,9.2,8.8
122,170.2,7.8,35.2,11.7
123,125.7,36.9,79.2,15.9
124,120.2,19.6,11.6,13.2
125,100.4,9.6,3.6,10.7
126,135.2,41.7,45.9,17.2
127,198.9,49.4,60,23.7
128,262.9,3.5,19.5,12
129,28.6,1.5,33,7.3
130,209.6,20.6,10.7,15.9
131,228.3,16.9,26.2,15.5
132,13.2,15.9,49.6,5.6
133,255.4,26.9,5.5,19.8
134,197.6,23.3,14.2,16.6
135,36.9,38.6,65.6,10.8
136,27.5,1.6,20.7,6.9
137,177,9.3,6.4,12.8
138,218.5,5.4,27.4,12.2
139,163.3,31.6,52.9,16.9
140,5.4,29.9,9.4,5.3
141,287.6,43,71.8,26.2
142,296.4,36.3,100.9,23.8
143,238.2,34.3,5.3,20.7
144,8.4,27.2,2.1,5.7
145,26.8,33,19.3,8.8
146,59.6,12,43.1,9.7
147,131.1,42.8,28.9,18
148,19.6,20.1,17,7.6
149,8.6,2.1,1,4.8
150,25.6,39,9.3,9.5
151,110.7,40.6,63.2,16
152,276.7,2.3,23.7,11.8
153,166.8,42,3.6,19.6
154,172.5,18.1,30.7,14.4
155,216.8,43.9,27.2,22.3
156,109.8,14.3,31.7,12.4
157,266.9,43.8,5,25.4
158,265.2,2.9,43,12.7
159,168.4,7.1,12.8,11.7
160,222.4,4.3,49.8,11.7
161,149.7,35.6,6,17.3
162,31.5,24.6,2.2,9.5
163,193.2,18.4,65.7,15.2
164,94.2,4.9,8.1,9.7
165,68.4,44.5,35.6,13.6
166,195.4,47.7,52.9,22.4
167,96.2,14.8,38.9,11.4
168,48.3,47,8.5,11.6
169,44.7,25.8,20.6,10.1
170,248.8,27.1,22.9,18.9
171,89.7,9.9,35.7,10.6
172,227.2,15.8,49.9,14.8
173,90.4,0.3,23.2,8.7
174,116,7.7,23.1,11
175,139.3,14.5,10.2,13.4
176,280.7,13.9,37,16.1
177,8.7,48.9,75,7.2
178,243.2,49,44.3,25.4
179,205,45.1,19.6,22.6
180,225.8,8.2,56.5,13.4
