,TV,radio,newspaper,sales
113,74.7,49.4,45.7,14.7
114,209.6,20.6,10.7,15.9
115,222.4,4.3,49.8,11.7
116,7.8,38.9,50.6,6.6
117,66.1,5.8,24.2,8.6
118,90.4,0.3,23.2,8.7
119,19.4,16,22.3,6.6
120,13.2,15.9,49.6,5.6
121,198.9,49.4,60,23.7
122,131.7,18.4,34.6,12.9
123,38.2,3.7,13.8,7.6
124,286,13.9,3.7,15.9
125,120.5,28.5,14.2,14.2
126,139.2,14.3,25.6,12.2
127,96.2,14.8,38.9,11.4
128,136.2,19.2,16.6,13.2
129,88.3,25.5,73.4,12.9
130,164.5,20.9,47.4,14.5
131,287.6,43,71.8,26.2
132,121,8.4,48.7,11.6
133,17.9,37.6,21.6,8
134,293.6,27.7,1.8,20.7
135,202.5,22.3,31.6,16.6
136,225.8,8.2,56.5,13.4
137,199.1,30.6,38.7,18.3
138,228,37.7,32,21.5
139,78.2,46.8,34.5,14.6
140,168.4,7.1,12.8,11.7
141,290.7,4.1,8.5,12.8
142,109.8,14.3,31.7,12.4
143,27.5,1.6,20.7,6.9
144,151.5,41.3,58.5,18.5
145,204.1,32.9,46,19
146,53.5,2,21.4,8.1
147,163.5,36.8,7.4,18
148,7.3,28.1,41.4,5.5
149,210.7,29.5,9.3,18.4
150,237.4,27.5,11,18.9
151,8.7,48.9,75,7.2
152,292.9,28.3,43.2,21.4
153,177,33.4,38.7,17.1
154,69,9.3,0.9,9.3
155,5.4,29.9,9.4,5.3
156,26.8,33,19.3,8.8
157,131.1,42.8,28.9,18
158,227.2,15.8,49.9,14.8
159,237.4,5.1,23.5,12.5
160,62.3,12.6,18.3,9.7
161,248.4,30.2,20.3,20.2
162,8.6,2.1,1,4.8
163,239.3,15.5,27.3,15.7
164,39.5,41.1,5.8,10.8
165,216.4,41.7,39.6,22.6
166,218.4,27.7,53.4,18
167,187.9,17.2,17.9,14.7
168,87.2,11.8,25.9,10.6
169,8.4,27.2,2.1,5.7
170,222.4,3.4,13.1,11.5
171,228.3,16.9,26.2,15.5
172,255.4,26.9,5.5,19.8
173,213.5,43,33.8,21.7
174,193.2,18.4,65.7,15.2
175,172.5,18.1,30.7,14.4
176,56.2,5.7,29.7,8.7
177,100.4,9.6,3.6,10.7
178,182.6,46.2,58.7,21.2
179,191.1,28.7,18.2,17.3
180,75.1,35,52.7,12.6
