,TV,radio,newspaper,sales
93,227.2,15.8,49.9,14.8
94,216.4,41.7,39.6,22.6
95,28.6,1.5,33,7.3
96,125.7,36.9,79.2,15.9
97,66.1,5.8,24.2,8.6
98,90.4,0.3,23.2,8.7
99,214.7,24,4,17.4
100,184.9,21,22,15.5
101,19.6,20.1,17,7.6
102,287.6,43,71.8,26.2
103,7.3,28.1,41.4,5.5
104,215.4,23.6,57.6,17.1
105,109.8,47.8,51.4,16.7
106,36.9,38.6,65.6,10.8
107,165.6,10,17.6,12.6
108,180.8,10.8,58.4,12.9
109,239.9,41.5,18.5,23.2
110,112.9,17.4,38.6,11.9
111,170.2,7.8,35.2,11.7
112,38.2,3.7,13.8,7.6
113,137.9,46.4,59,19.2
114,129.4,5.7,31.3,11
115,163.3,31.6,52.9,16.9
116,240.1,7.3,8.7,13.2
117,135.2,41.7,45.9,17.2
118,97.2,1.5,30,9.6
119,177,33.4,38.7,17.1
120,25,11,29.7,7.2
121,94.2,4.9,8.1,9.7
122,53.5,2,21.4,8.1
123,218.5,5.4,27.4,12.2
124,100.4,9.6,3.6,10.7
125,96.2,14.8,38.9,11.4
126,296.4,36.3,100.9,23.8
127,142.9,29.3,12.6,15
128,222.4,4.3,49.8,11.7
129,210.8,49.6,37.7,23.8
130,172.5,18.1,30.7,14.4
131,25.6,39,9.3,9.5
132,95.7,1.4,7.4,9.5
133,75.5,10.8,6,9.9
134,4.1,11.6,5.7,3.2
135,136.2,19.2,16.6,13.2
136,0.7,39.6,8.7,1.6
137,31.5,24.6,2.2,9.5
138,59.6,12,43.1,9.7
139,18.8,21.7,50.4,7
140,265.6,20,0.3,17.4
141,243.2,49,44.3,25.4
142,224,2.4,15.6,11.6
143,206.8,5.2,19.4,12.2
144,266.9,43.8,5,25.4
145,171.3,39.7,37.7,19
146,7.8,38.9,50.6,6.6
147,18.7,12.1,23.4,6.7
148,199.8,3.1,34.6,11.4
149,199.1,30.6,38.7,18.3
150,104.6,5.7,34.4,10.4
151,237.4,27.5,11,18.9
152,205,45.1,19.6,22.6
153,248.4,30.2,20.3,20.2
154,228,37.7,32,21.5
155,197.6,23.3,14.2,16.6
156,239.3,15.5,27.3,15.7
157,62.3,12.6,18.3,9.7
158,116,7.7,23.1,11
159,281.4,39.6,55.8,24.4
160,76.3,27.5,16,12
161,76.4,26.7,22.3,11.8
162,262.7,28.8,15.9,20.2
163,8.6,2.1,1,4.8
164,250.9,36.5,72.3,22.2
165,43,25.9,20.5,9.6
166,147.3,23.9,19.1,14.6
167,5.4,29.9,9.4,5.3
168,68.4,44.5,35.6,13.6
169,202.5,22.3,31.6,16.6
170,93.9,43.5,50.5,15.3
171,69,9.3,0.9,9.3
172,237.4,5.1,23.5,12.5
173,80.2,0,9.2,8.8
174,120.5,28.5,14.2,14.2
175,39.5,41.1,5.8,10.8
176,209.6,20.6,10.7,15.9
177,87.2,11.8,25.9,10.6
178,17.2,4.1,31.6,5.9
179,8.4,27.2,2.1,5.7
180,120.2,19.6,11.6,13.2
